item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,mean_daily_demand,std_daily_demand,cv,adi,cv2,demand_pattern,cv_class,rop_global,slots_needed
14112014001,義美草莓小泡芙(三入),46.0,28.0,31.0,39928.0,3.51,10.0,3992.8,PCS,515.0,0.2139564340594323,1.699,1.932,882,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 18]","[376, 84, 26, 10, 2, 4, 1, 2, 1, 3, 2, 7, 1]",A,72,36.0952,21.7115,0.6015,1.0,0.3618,smooth,1,17,8
10000026001,可口可樂Can 235ml,34.0,22.0,14.0,10472.0,6.62,24.0,436.3,PCS,506.0,0.2156430726154564,14.236,10.831,7232,"[8, 16, 24, 32, 40, 48, 64, 72, 96]","[312, 100, 49, 20, 8, 16, 1, 1, 1]",A,724,344.381,162.8246,0.4728,1.0,0.2235,smooth,0,177,7
14100003001,義美煎餅-花生,40.0,27.0,37.0,39960.0,4.36,12.0,3330.0,PCS,504.0,0.217323044615923,1.574,1.693,809,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 25]","[373, 91, 24, 7, 6, 5, 2, 1, 1, 1, 1, 1, 1]",A,68,35.9524,13.3846,0.3723,1.0,0.1386,smooth,0,16,6
14110009001,奧利奧 巧心蛋糕量販包,34.0,24.0,40.0,32640.0,3.16,12.0,2720.0,PCS,502.0,0.2189963500608323,2.37,1.37,1382,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]","[66, 415, 14, 56, 2, 21, 1, 4, 1, 1, 2]",A,121,64.381,33.8814,0.5263,1.0,0.277,smooth,1,28,11
14502077001,統一肉燥碗麵 85g,43.0,28.0,17.0,20468.0,1.8,12.0,1705.7,PCS,497.0,0.2223129614506425,8.684,7.03,4698,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 36, 48]","[220, 93, 17, 145, 2, 9, 4, 42, 3, 1, 4, 1]",A,497,197.7143,181.7661,0.9193,1.0,0.8452,erratic,1,130,21
14133003001,義美蛋捲量販盒-原味,44.0,26.0,35.0,40040.0,4.01,12.0,3336.7,PCS,495.0,0.2256129064515591,1.612,1.574,801,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12]","[365, 77, 22, 9, 9, 3, 2, 3, 3, 2, 2]",A,81,38.1429,25.9235,0.6796,1.0,0.4619,smooth,1,20,7
14131041001,義美巧克力夾心酥經濟包,56.0,26.0,24.0,34944.0,3.92,8.0,4368.0,PCS,493.0,0.22725621239646,1.493,1.203,742,"[1, 2, 3, 4, 5, 6, 8, 9, 10]","[366, 82, 28, 6, 7, 1, 3, 1, 3]",A,63,33.4762,17.7866,0.5313,1.0,0.2823,smooth,1,15,8
14000039001,北田蒟蒻糙米捲-蛋黃,46.0,28.0,14.0,18032.0,2.8,12.0,1502.7,PCS,492.0,0.2288961850635822,1.648,1.482,842,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12]","[355, 94, 26, 10, 9, 7, 4, 2, 2, 2]",A,85,40.0952,19.1805,0.4784,1.0,0.2288,smooth,0,21,3
14505041001,科學麵-原味(包)40g,39.0,31.0,12.0,14508.0,2.08,40.0,362.7,PCS,490.0,0.2321661305644906,17.649,21.828,9495,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 260]","[230, 156, 9, 7, 12, 7, 4, 78, 2, 1, 3, 2, 1, 2, 6, 12, 2, 3, 1]",A,896,439.7619,195.7069,0.445,1.0,0.1981,smooth,0,216,6
14503019001,統一阿Q桶麵生猛海鮮(碗) 98g,43.0,29.0,23.0,28681.0,2.11,12.0,2390.1,PCS,485.0,0.2337827702871618,6.748,5.883,3354,"[3, 6, 9, 12, 15, 21, 24, 27, 30]","[278, 87, 4, 92, 1, 2, 31, 1, 1]",A,367,157.0,127.5276,0.8123,1.0,0.6598,erratic,1,94,16
10030048001,原萃木柵鐵觀音 580ml,38.0,25.0,24.0,22800.0,14.97,24.0,950.0,PCS,478.0,0.2401893301778303,13.806,12.444,6696,"[4, 8, 12, 16, 20, 24, 44, 48]","[228, 53, 16, 8, 5, 144, 1, 30]",A,584,318.8571,113.6883,0.3565,1.0,0.1271,smooth,0,133,13
