item_code,item_name,order_frequency,total_qty,avg_qty_per_order,days_ordered,best_fit,poisson_p,normal_p,note
14506225001,Paldo御膳炸醬麵(包)200g Paldo御膳炸醬,25,116,4.64,14,poisson,0.6405,0.4268,
14506230001,ITSUKI札幌即食拉麵2人份-味噌,10,12,1.2,8,poisson,0.9767,0.0,
14506248001,原製麵無鹽麵條 無鹽麵條,4,5,1.25,4,poisson,1.0,0.0,
14506254001,中農錦州美食松花刀削麵600g,3,3,1.0,3,poisson,1.0,0.0,
14506262001,正嘉蔬菜麵1200g,4,6,1.5,4,poisson,1.0,0.0,
14506264001,不倒翁金拉麵-辛辣120g 不倒翁金拉麵,10,60,6.0,6,poisson,0.3793,0.0,
14506275001,臺灣好物岡山香辣豆瓣拌麵84g 香辣豆瓣拌麵,87,792,9.0,13,poisson,0.0022,0.0,
14506281001,臺灣好物雲林香蔥蒜蓉拌麵82g 香蔥蒜蓉拌麵,29,232,8.0,10,poisson,0.0027,0.0,
14506286001,火辣雞肉風味鐵板炒麵 火辣雞肉風味鐵,37,42,1.135135135135135,17,poisson,0.3421,0.0,
14506291001,農心激辣辛拉麵120g 農心激辣辛拉麵,21,92,4.380952380952381,11,normal,0.089,0.0968,
14506298001,五木蕎麥麵320g 五木蕎麥麵320g,11,16,1.4545454545454546,7,poisson,0.4878,0.0504,
14506313001,五木麵大師和風麵條300g 五木麵大師和風,12,98,7.538461538461538,9,poisson,0.7635,0.1845,
14506314001,五木麵大師蘭州拉麵300g,31,138,4.451612903225806,17,poisson,0.9716,0.6034,
14506315001,五木麵大師雲絲細300g,16,35,2.1875,8,poisson,0.1621,0.0063,
14506323001,中農錦州美食關廟細麵600g,3,5,1.6666666666666667,3,poisson,1.0,0.0,
14506328001,中農經典家常勁麵 900g 中農家常勁麵,2,2,1.0,2,poisson,,,sparse
14506329001,中農經典大寬麵片900g 中農大寬麵片,5,6,1.2,5,poisson,1.0,0.0,
14506330001,八道泡菜先生-手作泡菜湯麵115g 手作泡菜湯麵,2,8,4.0,2,poisson,,,sparse
14506334001,PALDO韓國乾拌麵130g x5 韓國乾拌麵,10,11,1.1,7,poisson,0.6677,0.1355,
14506339001,農心安城湯麵-海鮮味112g 安城海鮮湯麵,9,36,4.0,9,poisson,0.4017,0.0,
14506340001,八道泡菜先生-手作泡菜乾拌麵134g 手作泡菜乾拌麵,8,32,4.0,7,poisson,0.867,0.0,
14506348001,一食之選乾拌麵-香爆蔥燒352g,8,8,1.0,7,poisson,0.867,0.0,
14506349001,水哦千拌麵-黑麻油麵線372g 千拌麵黑麻油麵,4,5,1.25,2,poisson,,,sparse
14506352001,五木營養麵條300g 五木營養麵條,38,148,3.7,14,poisson,0.4536,0.0,
14506358001,中農經典蛋黃拉麵 900g 中農蛋黃拉麵,8,11,1.375,5,poisson,0.4384,0.0,
14506360001,揚豐牛肉3分拉麵339g 揚豐牛肉拉麵,7,12,1.7142857142857142,7,poisson,0.585,0.0,
14506366001,農心頂級辛拉麵(包)130g 農心頂級辛拉麵,4,15,3.75,3,poisson,1.0,0.0,
14506372001,金雞牌關廟板條麵 1200g,17,24,1.411764705882353,12,poisson,0.8439,0.066,
14506375001,農心浣熊炸醬烏龍麵140g x4 浣熊炸醬烏龍麵,32,34,1.0625,16,poisson,0.8466,0.0,
14506378001,農心非油炸辛拉麵97g 非油炸辛拉麵,15,84,5.6,8,poisson,0.2352,0.0113,
14506383001,Paldo金炸醬麵(包)203g 金炸醬麵,12,60,5.0,10,poisson,0.6937,0.0296,
14506386001,ITSUKI九州即食拉麵2人份-豚骨 豚骨味,1,1,1.0,1,poisson,,,sparse
14506392001,五木府城肉燥味湯麵 336g 府城肉燥味湯麵,2,2,1.0,2,poisson,,,sparse
14506393001,一食之選乾拌麵-成都麻辣376g 一食之選-麻辣,6,7,1.1666666666666667,6,poisson,0.6732,0.0,
14506397001,曾蒙牛職人麵舖-紅燒牛肉麵500g 紅燒牛肉麵,13,23,1.7692307692307692,10,poisson,0.8911,0.1656,
14506400001,不倒翁金螃蟹海鮮風味拉麵130g*4,23,27,1.173913043478261,10,poisson,0.0081,0.0063,
14506411001,曾蒙牛職人麵舖-清燉牛肉麵500g 清燉牛肉麵,7,9,1.2857142857142858,7,poisson,0.585,0.0,
14506488001,金雞牌鹽水意麵600g,3,4,1.3333333333333333,2,poisson,,,sparse
14506490001,農心辛辣白菜風味拉麵超值包120g x5,91,108,1.1868131868131868,20,poisson,0.0918,0.0,
14506631001,Paldo香辣芝麻濃湯拉麵115g X4 芝麻濃湯拉麵,19,19,1.0,13,poisson,0.7779,0.052,
14506641001,台客99酸菜牛肉麵580g,5,6,1.2,5,poisson,1.0,0.0,
14506642001,台客99紅燒牛肉麵580g,2,3,1.5,2,poisson,,,sparse
14506645001,馬辣紅燒牛肉麵540g,13,27,2.076923076923077,10,poisson,0.8911,0.1656,
14506646001,馬辣清燉牛肉麵540g,10,16,1.6,9,poisson,0.632,0.0,
14506647001,台客99香菇雞麵580g,4,4,1.0,2,poisson,,,sparse
14506887001,出前一丁麻油味速食麵 麻油速食麵,43,255,5.930232558139535,18,poisson,0.3643,0.3578,
14506898001,阿舍食堂外省乾麵油蔥95g,78,470,6.0256410256410255,21,poisson,0.6044,0.0,
14507029001,聖雷蒙尖管麵 500g 聖雷蒙尖管麵,22,35,1.5909090909090908,12,normal,0.2171,0.2293,
14507042001,QQ義大利麵500g QQ義大利麵,11,22,2.0,10,poisson,0.5152,0.0,
