sku_i,sku_j,cooc,n_i,n_j,jaccard
10032016001,10033037001,88,627,521,0.0830188679245283
14023127001,14023129001,21,214,60,0.08300395256916997
11040009001,11040035001,20,132,130,0.08264462809917356
14502015001,14503019001,56,251,483,0.08259587020648967
14831007001,14832018001,90,810,371,0.08249312557286893
14501022001,14501038001,54,498,212,0.08231707317073171
14001074001,14506084001,20,183,80,0.0823045267489712
14832018001,14832021001,80,371,681,0.0823045267489712
14501014001,14503000001,64,456,386,0.08226221079691516
14102249001,14112007001,107,765,644,0.08218125960061444
14131022001,14131056001,23,195,108,0.08214285714285714
14000057001,14010040001,155,791,1258,0.08183738120380148
14000057001,14101048001,89,791,387,0.08172635445362718
14500000001,14502081001,119,1183,395,0.08156271418779987
10033005001,10033025001,63,233,603,0.0815006468305304
10040004001,10040019001,33,320,118,0.08148148148148149
14100026001,14104002001,36,139,339,0.08144796380090498
14504015001,14504027001,28,201,171,0.08139534883720931
10040025001,10040094001,31,274,138,0.08136482939632546
14110009001,14121106001,75,502,495,0.08134490238611713
10013003001,10014033001,30,234,165,0.08130081300813008
14120019001,14121173001,23,208,98,0.0812720848056537
10040025001,10040079001,28,274,99,0.08115942028985507
14003037001,14003054001,21,203,77,0.08108108108108109
14500014001,14501021001,21,165,115,0.08108108108108109
14821003001,14831007001,117,753,810,0.08091286307053942
14021010001,14023102001,51,561,121,0.08082408874801902
14244021001,14244052001,21,165,116,0.08076923076923077
10032011001,14621069001,21,115,166,0.08076923076923077
14014018001,14014020001,27,165,197,0.08059701492537313
10002018001,10021026001,251,816,2552,0.08052614693615656
14850001001,14850010001,21,105,177,0.08045977011494253
14502012001,14503000001,48,260,386,0.0802675585284281
14501026001,14502054001,26,237,113,0.08024691358024691
14504027001,14510033001,21,171,112,0.08015267175572519
10040004001,10040079001,31,320,99,0.07989690721649484
14131025001,14504028001,25,239,101,0.07936507936507936
14000057001,14131041001,94,791,489,0.07925801011804384
10030023001,10031916001,46,385,242,0.07917383820998279
14020053001,14023129001,38,458,60,0.07916666666666666
10032010001,10032016001,80,465,627,0.07905138339920949
14110106001,14121115001,32,286,152,0.07881773399014778
14501010001,14502011001,103,700,715,0.07850609756097561
10001004001,10002045001,47,394,252,0.07846410684474124
14010019001,14010036001,23,98,219,0.0782312925170068
14501013001,14502015001,44,356,251,0.07815275310834814
14020026001,14023083001,77,881,182,0.07809330628803246
14112014001,14112018001,53,505,227,0.0780559646539028
10031005001,10034019001,85,645,529,0.0780532598714417
14023056001,14112013001,200,1908,857,0.07797270955165692
14021010001,14023503001,52,561,159,0.07784431137724551
14011052001,14011053001,73,464,548,0.0777422790202343
14121057001,14121143001,24,204,129,0.07766990291262135
14510033001,14621069001,20,112,166,0.07751937984496124
10013003001,10014032001,23,234,87,0.07718120805369127
14810001001,14811007001,25,239,110,0.07716049382716049
14131081001,14131105001,27,198,179,0.07714285714285714
10010035001,10014090001,54,416,340,0.07692307692307693
10002035001,14840018001,21,180,114,0.07692307692307693
14130042001,14131008001,21,151,143,0.07692307692307693
14121062001,14121063001,30,159,261,0.07692307692307693
14621069001,14840018001,20,166,114,0.07692307692307693
14501045001,14502011001,91,559,715,0.07692307692307693
10034019001,10034025001,66,529,395,0.07692307692307693
10034003001,10034042001,73,323,700,0.07684210526315789
14021010001,14023083001,53,561,182,0.07681159420289856
10002005001,10002018001,84,362,816,0.07678244972577697
10002035001,10032011001,21,180,115,0.07664233576642336
14022167001,14023248001,21,66,229,0.07664233576642336
10002035001,14504028001,20,180,101,0.07662835249042145
14820013001,14821003001,76,316,753,0.07653575025176233
14010040001,14023056001,225,1258,1908,0.07650459027541652
14821003001,14840003001,104,753,712,0.07641440117560618
14831021001,14831022001,22,181,129,0.0763888888888889
14120019001,14121017001,31,208,229,0.07635467980295567
10030048001,10031033001,52,478,256,0.07624633431085044
14001074001,14840018001,21,183,114,0.07608695652173914
14504028001,14509008001,20,101,182,0.07604562737642585
14501012001,14503003001,213,572,2447,0.0759087669280114
14001074001,14504028001,20,183,101,0.07575757575757576
10031910001,10033037001,61,346,521,0.07568238213399504
10040004001,10040040001,28,320,78,0.07567567567567568
10032013001,10033064001,76,648,433,0.07562189054726368
14504001001,14504027001,25,186,171,0.07530120481927711
14010040001,14131033001,134,1258,658,0.07519640852974187
10032011001,14504027001,20,115,171,0.07518796992481203
14831007001,14840006001,106,810,706,0.075177304964539
10030015001,10033015001,29,78,337,0.07512953367875648
10034003001,10034017001,33,323,152,0.0746606334841629
14110006001,14110015001,48,126,565,0.07465007776049767
14501063001,14503013001,55,521,271,0.07462686567164178
14504001001,14504002001,21,186,118,0.07420494699646643
14509008001,14621069001,24,182,166,0.07407407407407407
14131025001,14504009001,22,239,80,0.07407407407407407
14500067001,14506275001,20,203,87,0.07407407407407407
14121019001,14121063001,46,407,261,0.07395498392282958
10013003001,10032011001,24,234,115,0.07384615384615385
10001006001,10002007001,53,571,200,0.07381615598885793
14101048001,14130007001,54,387,404,0.07327001356852103
10030048001,10033004001,75,478,621,0.0732421875
10013005001,10014028001,27,161,236,0.07297297297297298
14001074001,14510033001,20,183,112,0.07272727272727272
14000032001,14101048001,58,470,387,0.07259073842302878
10031910001,10035034001,47,346,350,0.0724191063174114
14500013001,14502077001,69,538,486,0.07225130890052356
14503019001,14505031001,46,483,200,0.07221350078492936
10032011001,14509008001,20,115,182,0.07220216606498195
10020007001,10020018001,37,351,199,0.07212475633528265
