item_code,item_id,n_slots,s_total,rop_global,rop_per_slot
14023164001,855,2,12,1,1
14111142001,856,1,12,1,1
14020009001,857,1,12,1,1
10033038001,858,3,72,6,2
14000021001,859,1,36,1,1
14121015001,860,1,20,3,3
10031019001,861,3,144,9,3
14613900001,862,1,72,2,2
14104108001,863,1,48,1,1
14132012001,864,2,20,1,1
15021003001,865,2,384,21,11
14204006001,866,1,18,1,1
14510153001,867,2,26,2,1
14011044001,868,2,24,1,1
14111011001,869,2,12,1,1
14001030001,870,2,24,1,1
31531002001,871,1,90,2,2
10033006001,872,5,80,7,2
11074015002,873,1,72,1,1
14120017001,874,1,24,1,1
14502021001,875,1,48,3,3
10024010001,876,1,96,43,43
14121022001,877,1,24,1,1
14021088001,878,2,24,1,1
14010025001,879,1,24,7,7
14112009001,880,1,10,1,1
14020013001,881,1,24,2,2
14510140001,882,2,26,2,1
14011014001,883,2,24,2,1
10052020001,884,1,24,2,2
14222095001,885,1,40,1,1
14132074001,886,1,12,1,1
10033020001,887,4,64,5,2
14111143001,888,1,12,1,1
11103375001,889,3,36,3,1
14244015001,890,1,42,1,1
14505125001,891,1,90,17,17
14822046001,892,1,168,5,5
14504012001,893,1,40,17,17
10040022001,894,6,240,21,4
14501031001,895,4,96,41,11
12220010001,896,4,16,1,1
10021021001,897,2,144,12,6
14001060001,898,1,48,3,3
10014051001,899,2,288,25,13
14204070001,900,1,24,1,1
14505106001,901,1,72,5,5
14010098001,902,2,24,1,1
14510103001,903,2,26,2,1
14023302001,904,1,32,1,1
11070001001,905,2,48,4,2
14241042001,906,1,30,1,1
14502002001,907,1,90,8,8
15023035001,908,4,288,147,37
14500032001,909,1,90,5,5
12120094001,910,1,94,2,2
14023003001,911,1,12,1,1
14810005001,912,1,72,3,3
11103134001,913,4,16,1,1
14011009001,914,1,12,1,1
14023310001,915,1,36,4,4
14501928001,916,1,90,7,7
10041033001,917,2,96,9,5
14521156001,918,1,96,2,2
14204125001,919,1,32,3,3
14204062001,920,1,12,1,1
31502006001,921,1,24,2,2
14200015001,922,1,40,1,1
10002012001,923,2,192,95,48
14613906001,924,1,24,2,2
12121004001,925,1,48,4,4
14022167001,926,1,36,4,4
14202001001,927,1,20,5,5
12301011001,928,1,48,1,1
14830011001,929,1,144,3,3
14362041001,930,1,20,2,2
12210018001,931,2,74,6,3
10033046001,932,2,96,40,20
14001092001,933,2,24,2,1
15022013001,934,1,192,13,13
14131040001,935,2,16,1,1
10000022001,936,2,48,4,2
12212005001,937,2,48,3,2
10002072001,938,2,24,2,1
14204083001,939,1,40,1,1
12212061001,940,1,36,2,2
11110008001,941,5,30,2,1
11110007001,942,5,30,2,1
14101074001,943,2,20,1,1
10020002001,944,1,120,8,8
11050025001,945,1,24,2,2
14023014001,946,1,24,2,2
14502016001,947,1,90,17,17
14511014001,948,1,13,8,8
11100008001,949,4,16,2,1
11102009001,950,1,18,2,2
10002073001,951,1,96,37,37
10040066001,952,6,240,19,4
14002051001,953,1,36,1,1
14510199001,954,2,26,1,1
11070004001,955,2,48,2,1
11101014001,956,3,36,3,1
14361129001,957,2,24,1,1
14830029001,958,1,168,3,3
11101028001,959,3,36,3,1
11103007001,960,3,18,1,1
14010012001,961,2,24,1,1
14001007001,962,1,48,3,3
14120005001,963,1,24,1,1
14501065001,964,3,72,35,12
12100026001,965,1,72,5,5
14244999001,966,1,18,4,4
14805028001,967,2,144,7,4
14001635001,968,2,20,1,1
10024004001,969,1,264,14,14
14833003001,970,1,192,3,3
14001075001,971,1,40,2,2
14612034001,972,1,27,1,1
14510233001,973,2,26,3,2
14620908001,974,1,24,2,2
10020033001,975,2,192,14,7
10032015001,976,3,144,10,4
10041032001,977,3,144,12,4
10020004001,978,1,144,8,8
10041002001,979,5,240,20,4
14111008001,980,1,20,1,1
10002069001,981,2,24,2,1
15020001001,982,1,216,16,16
10011008001,983,1,30,2,2
14612075001,984,1,12,7,7
14011929001,985,2,24,2,1
14120054001,986,1,16,1,1
30010002001,987,1,450,1,1
14021006001,988,2,24,1,1
14001135001,989,1,30,2,2
10001015001,990,3,72,6,2
15020922001,991,1,192,15,15
14620057001,992,1,36,1,1
14000018001,993,1,24,1,1
10035013001,994,3,144,10,4
14501084001,995,1,90,5,5
10030022001,996,2,96,9,5
10030008001,997,5,240,19,4
14023129001,998,1,32,1,1
12000179001,999,1,36,3,3
10016020001,1000,2,96,5,3
14001018001,1001,1,24,2,2
12201035001,1002,3,114,10,4
12120001001,1003,1,96,5,5
11051006001,1004,1,12,1,1
14613907001,1005,1,24,2,2
14103155001,1006,3,9,1,1
14506070001,1007,1,12,1,1
14023132001,1008,1,32,1,1
10030045001,1009,2,96,6,3
14620021001,1010,1,24,1,1
14121007001,1011,1,20,1,1
15023005001,1012,1,192,17,17
10033003001,1013,2,96,10,5
14100009001,1014,2,24,1,1
14810017001,1015,1,48,1,1
14001008001,1016,2,36,4,2
14504038001,1017,2,160,9,5
12221006001,1018,2,16,1,1
12011168001,1019,3,36,3,1
10035010001,1020,2,96,41,21
31501003001,1021,1,45,6,6
14110056001,1022,2,10,1,1
30011002001,1023,1,240,4,4
10041004001,1024,3,144,14,5
14520067001,1025,1,96,2,2
10040018001,1026,6,96,9,2
10001008001,1027,5,60,6,2
14370002001,1028,1,40,2,2
12010137001,1029,1,24,1,1
14830072001,1030,1,168,5,5
14132157001,1031,2,24,2,1
14220141001,1032,1,48,1,1
10030049001,1033,3,72,5,2
11103094001,1034,3,18,9,3
14502047001,1035,1,90,9,9
14243045001,1036,1,60,1,1
12201069001,1037,6,228,20,4
